,time,species,protein
0,0.0,ATA_charged,750.0
1,0.0,ATA_uncharged,0.0
2,0.0,TTT_charged,1750.0
3,0.0,TTT_uncharged,0.0
4,0.0,__GFP_rbs,10.0
5,0.0,__cellularProtein_rbs,100.0
6,0.0,free ribosome,500.0
7,5.0,ATA_charged,574.0
8,5.0,ATA_uncharged,176.0
9,5.0,GFP,2.0
10,5.0,TTT_charged,1321.3333333333333
11,5.0,TTT_uncharged,428.6666666666667
12,5.0,__GFP_rbs,10.0
13,5.0,__cellularProtein_rbs,97.33333333333333
14,5.0,free ribosome,115.0
15,5.0,cellularProtein,680.6666666666666
16,10.0,ATA_charged,560.0
17,10.0,ATA_uncharged,190.0
18,10.0,GFP,2.3333333333333335
19,10.0,TTT_charged,1300.3333333333333
20,10.0,TTT_uncharged,449.6666666666667
21,10.0,__GFP_rbs,10.0
22,10.0,__cellularProtein_rbs,97.0
23,10.0,free ribosome,96.0
24,10.0,cellularProtein,1632.0
25,15.0,ATA_charged,556.3333333333334
26,15.0,ATA_uncharged,193.66666666666666
27,15.0,GFP,3.0
28,15.0,TTT_charged,1304.3333333333333
29,15.0,TTT_uncharged,445.6666666666667
30,15.0,__GFP_rbs,10.0
31,15.0,__cellularProtein_rbs,97.66666666666667
32,15.0,free ribosome,88.33333333333333
33,15.0,cellularProtein,2578.6666666666665
34,20.0,ATA_charged,556.3333333333334
35,20.0,ATA_uncharged,193.66666666666666
36,20.0,GFP,4.0
37,20.0,TTT_charged,1317.3333333333333
38,20.0,TTT_uncharged,432.6666666666667
39,20.0,__GFP_rbs,10.0
40,20.0,__cellularProtein_rbs,97.66666666666667
41,20.0,free ribosome,96.0
42,20.0,cellularProtein,3531.0
43,25.0,ATA_charged,558.6666666666666
44,25.0,ATA_uncharged,191.33333333333334
45,25.0,GFP,4.666666666666667
46,25.0,TTT_charged,1293.3333333333333
47,25.0,TTT_uncharged,456.6666666666667
48,25.0,__GFP_rbs,10.0
49,25.0,__cellularProtein_rbs,98.33333333333333
50,25.0,free ribosome,97.33333333333333
51,25.0,cellularProtein,4478.0
52,30.0,ATA_charged,557.6666666666666
53,30.0,ATA_uncharged,192.33333333333334
54,30.0,GFP,5.666666666666667
55,30.0,TTT_charged,1297.0
56,30.0,TTT_uncharged,453.0
57,30.0,__GFP_rbs,10.0
58,30.0,__cellularProtein_rbs,98.0
59,30.0,free ribosome,93.66666666666667
60,30.0,cellularProtein,5415.333333333333
61,35.0,ATA_charged,558.3333333333334
62,35.0,ATA_uncharged,191.66666666666666
63,35.0,GFP,6.333333333333333
64,35.0,TTT_charged,1311.0
65,35.0,TTT_uncharged,439.0
66,35.0,__GFP_rbs,10.0
67,35.0,__cellularProtein_rbs,98.0
68,35.0,free ribosome,93.66666666666667
69,35.0,cellularProtein,6365.666666666667
70,40.0,ATA_charged,570.0
71,40.0,ATA_uncharged,180.0
72,40.0,GFP,7.666666666666667
73,40.0,TTT_charged,1305.0
74,40.0,TTT_uncharged,445.0
75,40.0,__GFP_rbs,10.0
76,40.0,__cellularProtein_rbs,97.66666666666667
77,40.0,free ribosome,101.0
78,40.0,cellularProtein,7316.0
79,45.0,ATA_charged,562.6666666666666
80,45.0,ATA_uncharged,187.33333333333334
81,45.0,GFP,8.0
82,45.0,TTT_charged,1304.0
83,45.0,TTT_uncharged,446.0
84,45.0,__GFP_rbs,10.0
85,45.0,__cellularProtein_rbs,96.33333333333333
86,45.0,free ribosome,92.0
87,45.0,cellularProtein,8256.333333333334
88,50.0,ATA_charged,557.0
89,50.0,ATA_uncharged,193.0
90,50.0,GFP,9.333333333333334
91,50.0,TTT_charged,1313.3333333333333
92,50.0,TTT_uncharged,436.6666666666667
93,50.0,__GFP_rbs,10.0
94,50.0,__cellularProtein_rbs,97.33333333333333
95,50.0,free ribosome,93.66666666666667
96,50.0,cellularProtein,9201.0
97,55.0,ATA_charged,551.0
98,55.0,ATA_uncharged,199.0
99,55.0,GFP,11.0
100,55.0,TTT_charged,1337.0
101,55.0,TTT_uncharged,413.0
102,55.0,__GFP_rbs,10.0
103,55.0,__cellularProtein_rbs,97.66666666666667
104,55.0,free ribosome,94.66666666666667
105,55.0,cellularProtein,10145.0
106,60.0,ATA_charged,572.0
107,60.0,ATA_uncharged,178.0
108,60.0,GFP,11.666666666666666
109,60.0,TTT_charged,1302.3333333333333
110,60.0,TTT_uncharged,447.6666666666667
111,60.0,__GFP_rbs,10.0
112,60.0,__cellularProtein_rbs,97.33333333333333
113,60.0,free ribosome,90.66666666666667
114,60.0,cellularProtein,11083.0
115,65.0,ATA_charged,566.0
116,65.0,ATA_uncharged,184.0
117,65.0,GFP,12.0
118,65.0,TTT_charged,1309.6666666666667
119,65.0,TTT_uncharged,440.3333333333333
120,65.0,__GFP_rbs,10.0
121,65.0,__cellularProtein_rbs,97.33333333333333
122,65.0,free ribosome,96.0
123,65.0,cellularProtein,12034.333333333334
124,70.0,ATA_charged,560.0
125,70.0,ATA_uncharged,190.0
126,70.0,GFP,13.666666666666666
127,70.0,TTT_charged,1305.3333333333333
128,70.0,TTT_uncharged,444.6666666666667
129,70.0,__GFP_rbs,10.0
130,70.0,__cellularProtein_rbs,98.0
131,70.0,free ribosome,93.0
132,70.0,cellularProtein,12971.333333333334
133,75.0,ATA_charged,562.6666666666666
134,75.0,ATA_uncharged,187.33333333333334
135,75.0,GFP,14.333333333333334
136,75.0,TTT_charged,1302.0
137,75.0,TTT_uncharged,448.0
138,75.0,__GFP_rbs,10.0
139,75.0,__cellularProtein_rbs,96.0
140,75.0,free ribosome,96.0
141,75.0,cellularProtein,13917.0
142,80.0,ATA_charged,560.0
143,80.0,ATA_uncharged,190.0
144,80.0,GFP,16.0
145,80.0,TTT_charged,1316.0
146,80.0,TTT_uncharged,434.0
147,80.0,__GFP_rbs,10.0
148,80.0,__cellularProtein_rbs,98.0
149,80.0,free ribosome,96.66666666666667
150,80.0,cellularProtein,14859.0
151,85.0,ATA_charged,566.6666666666666
152,85.0,ATA_uncharged,183.33333333333334
153,85.0,GFP,16.666666666666668
154,85.0,TTT_charged,1321.0
155,85.0,TTT_uncharged,429.0
156,85.0,__GFP_rbs,10.0
157,85.0,__cellularProtein_rbs,98.33333333333333
158,85.0,free ribosome,93.66666666666667
159,85.0,cellularProtein,15802.333333333334
160,90.0,ATA_charged,571.6666666666666
161,90.0,ATA_uncharged,178.33333333333334
162,90.0,GFP,17.666666666666668
163,90.0,TTT_charged,1283.3333333333333
164,90.0,TTT_uncharged,466.6666666666667
165,90.0,__GFP_rbs,10.0
166,90.0,__cellularProtein_rbs,96.33333333333333
167,90.0,free ribosome,96.66666666666667
168,90.0,cellularProtein,16750.0
169,95.0,ATA_charged,562.0
170,95.0,ATA_uncharged,188.0
171,95.0,GFP,18.666666666666668
172,95.0,TTT_charged,1303.6666666666667
173,95.0,TTT_uncharged,446.3333333333333
174,95.0,__GFP_rbs,10.0
175,95.0,__cellularProtein_rbs,98.33333333333333
176,95.0,free ribosome,90.0
177,95.0,cellularProtein,17686.333333333332
178,100.0,ATA_charged,567.6666666666666
179,100.0,ATA_uncharged,182.33333333333334
180,100.0,GFP,20.0
181,100.0,TTT_charged,1308.6666666666667
182,100.0,TTT_uncharged,441.3333333333333
183,100.0,__GFP_rbs,10.0
184,100.0,__cellularProtein_rbs,97.66666666666667
185,100.0,free ribosome,104.33333333333333
186,100.0,cellularProtein,18638.333333333332
